sale_id,employee_id,amount,product,city,sale_date
1,1,45000,Analytics Platform,Mumbai,2024-01-15
2,2,62000,ML Model,Bangalore,2024-01-20
3,3,38000,Web App,Delhi,2024-02-10
4,5,28000,Ad Campaign,Mumbai,2024-02-14
5,1,51000,Dashboard,Mumbai,2024-03-01
6,6,72000,AI Chatbot,Bangalore,2024-03-05
7,4,43000,Data Pipeline,Hyderabad,2024-03-12
8,7,35000,API Service,Chennai,2024-04-01
9,2,58000,Recommendation Engine,Bangalore,2024-04-10
10,10,32000,Social Media Campaign,Delhi,2024-04-15
11,11,41000,Mobile App,Bangalore,2024-05-01
12,9,47000,Predictive Model,Kolkata,2024-05-08
13,14,55000,Report Generator,Mumbai,2024-05-20
14,3,39000,Microservice,Delhi,2024-06-01
15,12,65000,Computer Vision Model,Hyderabad,2024-06-10
16,17,70000,NLP Engine,Delhi,2024-06-15
17,15,42000,Cloud Migration,Pune,2024-07-01
18,16,25000,Email Campaign,Kolkata,2024-07-10
19,19,48000,ETL Pipeline,Bangalore,2024-07-20
20,20,37000,Backend System,Chennai,2024-08-01
21,6,68000,Speech Recognition,Bangalore,2024-08-10
22,1,53000,BI Dashboard,Mumbai,2024-08-15
23,5,30000,Brand Strategy,Mumbai,2024-09-01
24,11,44000,Desktop App,Bangalore,2024-09-10
25,14,50000,Automation Script,Mumbai,2024-09-20
